cultivar,orchard_id,year,month,Pr[DCA>CA],Pr[DCA>RA],DCA-CA_mean,DCA-CA_p10,DCA-CA_median,DCA-CA_p90,DCA-RA_mean,DCA-RA_p10,DCA-RA_median,DCA-RA_p90,p_star,adoption_index,cvar10,omega,G_pos_mean,L_neg_mean
Gala,GA_O1,2022,September,0.0284,0.0,-2289.161252105574,-3845.710720994917,-2287.6762201787787,-722.9391798727098,-6619.183059427902,-8005.698815659515,-6616.354988627718,-5258.3068156945055,0.8701601464793365,-0.8417601464793365,-4359.0017593045095,0.004361538015268097,353.0986384918645,2366.39486768088
Gala,GA_O1,2022,October,0.0242,0.0,-2248.1739204095334,-3791.194898806652,-2239.7308386726654,-715.1693917331866,-6579.9287533968645,-7937.044791528862,-6567.402447640721,-5225.371006987058,0.8598421264772574,-0.8356421264772574,-4303.685871342574,0.004042530759704337,377.0744269705788,2313.28050988135
Gala,GA_O1,2022,November,0.0264,0.0,-2272.3906413188374,-3843.054607159458,-2263.5201023702975,-719.0580122854211,-6613.370468449187,-7974.797215551383,-6605.692988836614,-5248.955243847333,0.8675375084506826,-0.8411375084506826,-4347.937869054049,0.004140263867311801,357.8565015806724,2343.7120511098683
Gala,GA_O1,2022,December,0.3971,0.1909,6005.378842624038,-3363.7307083550722,-969.2199468433391,22954.53036851053,-1022.0009469445683,-7726.672514956258,-5788.622777750599,10624.680253705217,0.1058551285317105,0.2912448714682895,-4025.4027235215976,5.563531986595613,18436.989692850613,2182.699891204082
Gala,GA_O1,2022,January,0.3986,0.1909,6281.508110529115,-3330.719144220685,-947.7070208045188,24066.017049753707,-1119.4105072057973,-7698.47542926874,-5795.1783434046665,9777.117638217636,0.10197570278065077,0.29662429721934924,-3995.021752774857,5.836671497634014,19017.1437718204,2159.503486728461
Gala,GA_O1,2022,February,0.4009,0.1929,5919.647667824915,-3324.7311204639027,-906.3853124139132,22260.536726958613,-916.5600502308059,-7742.783483264607,-5802.643695505394,10538.447972876731,0.1067298035414092,0.29417019645859077,-4005.3131510992916,5.60059116346436,17975.460800795136,2147.745897536058
Gala,GA_O1,2022,March,0.294,0.1766,-26643.414826734603,-134919.8783828863,-2584.8830670741154,45371.78108706793,-41253.415864107075,-145011.82847067786,-7153.181465915637,14692.352516659892,0.524518782432703,-0.23051878243270302,-320667.3876161889,0.3774982573119474,54956.23041330582,60624.003637742935
Gala,GA_O1,2022,April,0.2805,0.1762,-26889.011653147358,-128922.25100323267,-2660.7195241449517,39497.830962709515,-39567.72840466922,-137319.05087103602,-7101.7947084034095,14393.248931047976,0.5344704535025337,-0.2539704535025337,-300081.68348010496,0.3395671080426058,49287.738900422475,56586.8275395634
Gala,GA_O1,2022,May,0.2888,0.1722,-26052.232898322553,-130707.71496321644,-2691.5100721906056,43161.336915598215,-40392.6987757173,-141164.62446245181,-7144.579206282273,14380.865312022337,0.5217252401635704,-0.23292524016357036,-306425.14455320156,0.3722554421464938,53494.097178553566,58353.948486345376
Gala,GA_O1,2022,June,0.4842,0.4456,31360.100958327464,-417137.92095215054,-706.0457055856241,525146.5919280241,105960.31530783381,-365312.5401699916,-5381.8079958671005,820415.8334832884,0.41679760591567544,0.06740239408432458,-675620.6967218185,1.3135225401473445,271344.7527507949,193922.1177270404
Gala,GA_O1,2022,July,0.4787,0.4423,24471.168683650416,-388482.650377993,-843.1393680074252,480148.44976824726,92839.5856733091,-357344.7497250461,-5342.209567975253,744255.2016982547,0.4213387519676227,0.0573612480323773,-623707.2220658936,1.2611556718767405,246865.56685968797,179749.4306005797
Gala,GA_O1,2022,August,0.4883,0.4337,25694.995909309466,-339201.7822729762,-487.0060142155853,419690.2285754128,72007.44356810235,-316810.0440056615,-5560.641206354776,637432.3803320535,0.4190502743290566,0.0692497256709434,-538080.3186419692,1.322950908819415,215560.43262266362,155487.90959612507
Gala,GA_O1,2023,September,0.0258,0.0,-2269.74900206874,-3811.8638887175007,-2274.6431671658647,-733.2471677521942,-6603.803920964244,-7965.290271307854,-6600.066276931262,-5256.9901134042875,0.8703049942196601,-0.8445049942196601,-4334.694076818544,0.003946602238308396,348.5771096182027,2339.0908350409463
Gala,GA_O1,2023,October,0.0276,0.0,-2260.7240048893004,-3819.076525279635,-2258.5787172961864,-685.1011184146042,-6595.564790838228,-7937.013136075298,-6597.168809705938,-5249.007171690615,0.861237075778884,-0.833637075778884,-4314.853442755168,0.004573143798200633,376.3084475126196,2335.571902551058
Gala,GA_O1,2023,November,0.0268,0.0,-2261.326593530699,-3806.189592611673,-2267.6923622104223,-705.0717216827323,-6595.499561468581,-7975.8511088985015,-6604.6046948436415,-5228.09297245692,0.864217579597651,-0.837417579597651,-4320.790816859164,0.0043266637343551155,366.66103706268353,2333.6961665885524
Gala,GA_O1,2023,December,0.0313,0.0,-2269.2586460548055,-3852.4034136597415,-2259.0576723137638,-674.4419124022706,-6596.863315476887,-7994.220347625483,-6594.657207600598,-5195.762104183715,0.8423553842351877,-0.8110553842351877,-4443.6529198279,0.006046984062461738,441.0751895391555,2356.833177957449
Gala,GA_O1,2023,January,0.0336,0.0,-2254.576376255628,-3880.1570666721555,-2259.008615383238,-645.648089725396,-6605.206031849333,-8035.947414210124,-6603.747550033557,-5205.0258448015775,0.8241368921866258,-0.7905368921866258,-4422.771934782098,0.007419211370619919,501.55383290743026,2350.4020954483835
Gala,GA_O1,2023,February,0.0333,0.0,-2254.799418200859,-3870.1580756086623,-2258.8572624368826,-623.7343570972909,-6601.221148607538,-8032.560296715761,-6601.032612239942,-5142.401041501003,0.8325044218179282,-0.7992044218179282,-4465.076356473367,0.00693057571263908,472.5561094583021,2348.748874155188
Gala,GA_O1,2023,March,0.4263,0.1744,9396.230776062328,-3358.2341357028113,-757.4216299843974,33483.53877986328,-971.8620653222184,-7782.579002414038,-5942.365357870702,10459.231607596725,0.08025473721893461,0.3460452627810654,-3999.020412454592,8.515837495148142,24974.012575194985,2179.1716659286976
Gala,GA_O1,2023,April,0.4196,0.1744,8445.862550506974,-3326.593346880178,-817.6351793940412,30683.246933328886,-1140.9879316446054,-7782.245661006833,-5988.665321498003,9393.743097409175,0.086202594246116,0.333397405753884,-4000.7361981965314,7.663685262264412,23148.972231968983,2183.746033816694
Gala,GA_O1,2023,May,0.419,0.1658,8907.318029089256,-3306.376943287032,-807.2112266745535,31902.561275860375,-1267.020380878056,-7780.3620272514645,-5935.43398395722,8370.247787331235,0.08165645471537127,0.33734354528462873,-3961.8682720863335,8.110591874277906,24248.212637090124,2156.081008350269
Gala,GA_O1,2023,June,0.4343,0.3434,34771.886409182975,-61995.58062677748,-1248.3993467863183,201989.38511106366,10525.027059506998,-71021.28301171689,-5881.061932582466,120176.79462310759,0.22788532729126995,0.20641467270873007,-172331.48105312377,2.6011721334813145,130067.70953815024,38388.75701473516
Gala,GA_O1,2023,July,0.4265,0.3361,29024.06942687704,-54406.0637144102,-1361.768244631181,171331.54049168035,8694.016649183224,-63621.16585524408,-5996.127917536942,111329.00246348641,0.23214054551750496,0.19435945448249503,-157527.85432196522,2.4598937474032376,114665.92235671815,34665.99208066825
Gala,GA_O1,2023,August,0.4299,0.3224,26414.530857000096,-47712.97676319972,-1290.6467370790197,156959.28308310104,6982.184756103212,-55529.62144317829,-6001.943365079118,92490.17547144905,0.23011441460780568,0.19978558539219432,-137321.9946786524,2.522892631384902,101789.95902922752,30424.43874700021
Gala,GA_O1,2024,September,0.03,0.0,-2256.9075367707414,-3802.604578077502,-2269.5020706013893,-696.1580464584399,-6608.039347164628,-7957.683909989544,-6595.045286001696,-5262.750032182398,0.8660203376811141,-0.8360203376811141,-4308.374546961587,0.004784761646078318,361.68941834621984,2337.8950714650805
Gala,GA_O1,2024,October,0.0253,0.0,-2271.3720567416135,-3817.0236007695667,-2279.858679237077,-732.4563019332825,-6615.763545971333,-7960.307110654365,-6622.709808664804,-5257.82291253705,0.8521065561789275,-0.8268065561789275,-4294.35617393779,0.004505101398066093,406.28733911221383,2340.875270771676
Gala,GA_O1,2024,November,0.0264,0.0,-2259.6088762956674,-3789.608767954423,-2254.300404240843,-731.5471081558496,-6605.223017048468,-7964.162804167718,-6608.853881697578,-5251.379576850426,0.871238597080677,-0.844838597080677,-4305.73659303302,0.004007485452622697,344.385791518236,2330.218427682569
Gala,GA_O1,2024,December,0.0334,0.0,-2240.9350295381887,-3840.4660122621804,-2238.688828771934,-632.2132602306314,-6576.019473444539,-7991.422533623164,-6589.204919371754,-5133.831227519677,0.8436551308310016,-0.8102551308310016,-4387.235844291346,0.006403513910899719,432.40540007447294,2333.3099212711313
Gala,GA_O1,2024,January,0.0346,0.0,-2272.157304831982,-3890.02178733882,-2282.621644907631,-624.874502955214,-6603.116124571341,-8027.036782649904,-6615.081994697393,-5138.189881603326,0.8363707422275026,-0.8017707422275027,-4433.708498519849,0.007011822807845827,463.7128717108008,2370.211073330408
Gala,GA_O1,2024,February,0.0349,0.0,-2274.7133208045534,-3890.0245183623165,-2284.4455739222467,-638.422937166749,-6617.178474213817,-8043.887851204001,-6607.866490712215,-5179.680532889929,0.8335234216590414,-0.7986234216590413,-4436.8346436655365,0.007222514868636188,474.17403507583947,2374.1187386060515
Gala,GA_O1,2024,March,0.5692,0.4678,112262.38237529784,-3114.653057292674,3074.2268672063365,429166.96601471724,79589.54628844018,-7388.025819182326,-2334.2148430014495,300071.85943033214,0.01106676993873842,0.5581332300612616,-3846.2833840903327,118.06883698747674,198913.0810301153,2225.9594871026366
Gala,GA_O1,2024,April,0.5559,0.4697,108326.97960646114,-3145.916297509172,2035.424286989146,426657.0338148536,71671.04322872826,-7366.695415852451,-2429.9987644023495,275225.41394007334,0.011191177912357278,0.5447088220876427,-3850.039162682641,110.59931403156467,196645.74679449998,2225.604675977044
Gala,GA_O1,2024,May,0.5777,0.4585,115203.79220906274,-3085.4387296445666,3504.372338909423,451723.7503257066,72785.46976084323,-7359.780928276851,-2688.6589229113306,280735.1899027028,0.010937259058403828,0.5667627409415962,-3811.2742673830203,123.70767054482137,201043.1707275962,2223.1766996674996
Gala,GA_O1,2024,June,0.9142,0.9704,248323.8681985526,3200.3658936773895,190977.38349647837,606664.0926631157,379188.63542761223,60270.708978401126,360090.4691952792,732857.0365195639,0.16430462350318892,0.749895376496811,-46477.49879153326,54.19411691990551,276736.0821676121,54408.60278646111
Gala,GA_O1,2024,July,0.9106,0.9683,221028.2868150731,2009.2950187344927,167224.24674103834,546466.452926417,344548.39470751735,51228.040782229706,325875.204076235,667448.3339940746,0.1548037969632001,0.7557962030367998,-40362.597290383026,55.61168522143157,247172.8066762101,45271.48707252575
Gala,GA_O1,2024,August,0.9099,0.967,193640.24707626482,1705.0489629109156,146841.08584279826,476192.0372665949,296958.7953624416,44146.890657091855,282975.16043368785,577912.1064281833,0.1534762461313411,0.7564237538686589,-35310.69675665727,55.70149542840778,216705.342761508,39289.05996039197
