cultivar,orchard_id,year,technology,interval_months,day_offset,replicate_id,marketable_pct,marketable
Honeycrisp,HC_O2,2023,RA,9,7,1,97.22222222222221,0.9722222222222221
Honeycrisp,HC_O2,2023,RA,9,7,2,97.22222222222221,0.9722222222222221
Honeycrisp,HC_O2,2023,RA,9,7,3,91.66666666666666,0.9166666666666665
Honeycrisp,HC_O2,2023,CA,3,1,1,100.0,1.0
Honeycrisp,HC_O2,2023,CA,3,1,2,98.33333333333333,0.9833333333333333
Honeycrisp,HC_O2,2023,CA,3,1,3,93.33333333333333,0.9333333333333332
Honeycrisp,HC_O2,2023,CA,3,7,1,100.0,1.0
Honeycrisp,HC_O2,2023,CA,3,7,2,96.66666666666667,0.9666666666666667
Honeycrisp,HC_O2,2023,CA,3,7,3,96.66666666666667,0.9666666666666667
Honeycrisp,HC_O2,2023,CA,6,1,1,95.0,0.95
Honeycrisp,HC_O2,2023,CA,6,1,2,96.66666666666667,0.9666666666666667
Honeycrisp,HC_O2,2023,CA,6,1,3,98.33333333333333,0.9833333333333333
Honeycrisp,HC_O2,2023,CA,6,7,1,93.33333333333333,0.9333333333333332
Honeycrisp,HC_O2,2023,CA,6,7,2,100.0,1.0
Honeycrisp,HC_O2,2023,CA,6,7,3,98.33333333333333,0.9833333333333333
Honeycrisp,HC_O2,2023,CA,9,1,1,88.88888888888889,0.8888888888888888
Honeycrisp,HC_O2,2023,CA,9,1,2,86.11111111111111,0.8611111111111112
Honeycrisp,HC_O2,2023,CA,9,1,3,94.44444444444444,0.9444444444444444
Honeycrisp,HC_O2,2023,CA,9,7,1,88.88888888888889,0.8888888888888888
Honeycrisp,HC_O2,2023,CA,9,7,2,83.33333333333333,0.8333333333333333
Honeycrisp,HC_O2,2023,CA,9,7,3,94.44444444444444,0.9444444444444444
Honeycrisp,HC_O2,2023,DCA,3,1,1,83.33333333333333,0.8333333333333333
Honeycrisp,HC_O2,2023,DCA,3,1,2,91.66666666666666,0.9166666666666665
Honeycrisp,HC_O2,2023,DCA,3,1,3,97.22222222222221,0.9722222222222221
Honeycrisp,HC_O2,2023,DCA,3,7,1,86.11111111111111,0.8611111111111112
Honeycrisp,HC_O2,2023,DCA,3,7,2,94.44444444444444,0.9444444444444444
Honeycrisp,HC_O2,2023,DCA,3,7,3,88.88888888888889,0.8888888888888888
Honeycrisp,HC_O2,2023,DCA,6,1,1,91.66666666666666,0.9166666666666665
Honeycrisp,HC_O2,2023,DCA,6,1,2,86.11111111111111,0.8611111111111112
Honeycrisp,HC_O2,2023,DCA,6,1,3,100.0,1.0
Honeycrisp,HC_O2,2023,DCA,6,7,1,83.33333333333334,0.8333333333333335
Honeycrisp,HC_O2,2023,DCA,6,7,2,86.11111111111111,0.8611111111111112
Honeycrisp,HC_O2,2023,DCA,6,7,3,94.44444444444444,0.9444444444444444
Honeycrisp,HC_O2,2023,DCA,9,1,1,91.66666666666666,0.9166666666666665
Honeycrisp,HC_O2,2023,DCA,9,1,2,97.22222222222221,0.9722222222222221
Honeycrisp,HC_O2,2023,DCA,9,1,3,100.0,1.0
Honeycrisp,HC_O2,2023,DCA,9,7,1,94.44444444444444,0.9444444444444444
Honeycrisp,HC_O2,2023,DCA,9,7,2,86.11111111111111,0.8611111111111112
Honeycrisp,HC_O2,2023,DCA,9,7,3,91.66666666666666,0.9166666666666665
Honeycrisp,HC_O2,2024,RA,3,1,1,78.33333333333333,0.7833333333333333
Honeycrisp,HC_O2,2024,RA,3,1,2,85.0,0.85
Honeycrisp,HC_O2,2024,RA,3,1,3,68.33333333333333,0.6833333333333332
Honeycrisp,HC_O2,2024,RA,3,7,1,86.66666666666667,0.8666666666666667
Honeycrisp,HC_O2,2024,RA,3,7,2,76.66666666666666,0.7666666666666666
Honeycrisp,HC_O2,2024,RA,3,7,3,66.66666666666667,0.6666666666666667
Honeycrisp,HC_O2,2024,RA,6,1,1,83.33333333333334,0.8333333333333335
Honeycrisp,HC_O2,2024,RA,6,1,2,40.0,0.4
Honeycrisp,HC_O2,2024,RA,6,1,3,66.66666666666666,0.6666666666666665
Honeycrisp,HC_O2,2024,RA,6,7,1,83.33333333333334,0.8333333333333335
Honeycrisp,HC_O2,2024,RA,6,7,2,40.0,0.4
Honeycrisp,HC_O2,2024,RA,6,7,3,66.66666666666666,0.6666666666666665
Honeycrisp,HC_O2,2024,RA,9,1,1,28.333333333333332,0.2833333333333333
Honeycrisp,HC_O2,2024,RA,9,1,2,13.333333333333341,0.13333333333333341
Honeycrisp,HC_O2,2024,RA,9,1,3,26.66666666666666,0.2666666666666666
Honeycrisp,HC_O2,2024,RA,9,7,1,28.333333333333332,0.2833333333333333
Honeycrisp,HC_O2,2024,RA,9,7,2,13.333333333333341,0.13333333333333341
Honeycrisp,HC_O2,2024,RA,9,7,3,26.66666666666666,0.2666666666666666
Honeycrisp,HC_O2,2024,CA,3,1,1,66.6666666666667,0.666666666666667
Honeycrisp,HC_O2,2024,CA,3,1,2,80.0,0.8
Honeycrisp,HC_O2,2024,CA,3,1,3,90.0,0.9
Honeycrisp,HC_O2,2024,CA,3,7,1,91.66666666666666,0.9166666666666665
Honeycrisp,HC_O2,2024,CA,3,7,2,71.66666666666667,0.7166666666666667
Honeycrisp,HC_O2,2024,CA,3,7,3,78.33333333333333,0.7833333333333333
Honeycrisp,HC_O2,2024,CA,6,1,1,75.0,0.75
Honeycrisp,HC_O2,2024,CA,6,1,2,78.33333333333333,0.7833333333333333
Honeycrisp,HC_O2,2024,CA,6,1,3,78.33333333333333,0.7833333333333333
Honeycrisp,HC_O2,2024,CA,6,7,1,75.0,0.75
Honeycrisp,HC_O2,2024,CA,6,7,2,78.33333333333333,0.7833333333333333
Honeycrisp,HC_O2,2024,CA,6,7,3,78.33333333333333,0.7833333333333333
Honeycrisp,HC_O2,2024,CA,9,1,1,86.66666666666667,0.8666666666666667
Honeycrisp,HC_O2,2024,CA,9,1,2,88.33333333333333,0.8833333333333333
Honeycrisp,HC_O2,2024,CA,9,1,3,90.0,0.9
Honeycrisp,HC_O2,2024,CA,9,7,1,86.66666666666667,0.8666666666666667
Honeycrisp,HC_O2,2024,CA,9,7,2,88.33333333333333,0.8833333333333333
Honeycrisp,HC_O2,2024,CA,9,7,3,90.0,0.9
Honeycrisp,HC_O2,2024,DCA,3,1,1,65.625,0.65625
Honeycrisp,HC_O2,2024,DCA,3,1,2,59.375,0.59375
Honeycrisp,HC_O2,2024,DCA,3,1,3,81.25,0.8125
Honeycrisp,HC_O2,2024,DCA,3,7,1,59.375,0.59375
Honeycrisp,HC_O2,2024,DCA,3,7,2,68.75,0.6875
Honeycrisp,HC_O2,2024,DCA,3,7,3,78.125,0.78125
Honeycrisp,HC_O2,2024,DCA,6,1,1,56.25,0.5625
Honeycrisp,HC_O2,2024,DCA,6,1,2,34.375,0.34375
Honeycrisp,HC_O2,2024,DCA,6,1,3,21.875,0.21875
Honeycrisp,HC_O2,2024,DCA,6,7,1,46.875,0.46875
Honeycrisp,HC_O2,2024,DCA,6,7,2,28.125,0.28125
Honeycrisp,HC_O2,2024,DCA,6,7,3,21.875,0.21875
Honeycrisp,HC_O2,2024,DCA,9,1,1,68.75,0.6875
Honeycrisp,HC_O2,2024,DCA,9,1,2,81.25,0.8125
Honeycrisp,HC_O2,2024,DCA,9,1,3,84.375,0.84375
Honeycrisp,HC_O2,2024,DCA,9,7,1,68.75,0.6875
Honeycrisp,HC_O2,2024,DCA,9,7,2,75.0,0.75
Honeycrisp,HC_O2,2024,DCA,9,7,3,84.375,0.84375
Gala,GA_O1,2022,RA,3,1,1,98.33333333333333,0.9833333333333333
Gala,GA_O1,2022,RA,3,1,2,100.0,1.0
Gala,GA_O1,2022,RA,3,1,3,100.0,1.0
Gala,GA_O1,2022,RA,3,7,1,100.0,1.0
Gala,GA_O1,2022,RA,3,7,2,100.0,1.0
Gala,GA_O1,2022,RA,3,7,3,98.14814814814815,0.9814814814814815
Gala,GA_O1,2022,RA,6,1,1,100.0,1.0
Gala,GA_O1,2022,RA,6,1,2,100.0,1.0
Gala,GA_O1,2022,RA,6,1,3,100.0,1.0
Gala,GA_O1,2022,RA,6,7,1,95.83333333333334,0.9583333333333335
Gala,GA_O1,2022,RA,6,7,2,100.0,1.0
Gala,GA_O1,2022,RA,6,7,3,97.91666666666666,0.9791666666666665
Gala,GA_O1,2022,RA,9,1,1,100.0,1.0
Gala,GA_O1,2022,RA,9,1,2,100.0,1.0
Gala,GA_O1,2022,RA,9,1,3,100.0,1.0
Gala,GA_O1,2022,RA,9,7,1,18.75,0.1875
Gala,GA_O1,2022,RA,9,7,2,35.41666666666665,0.3541666666666665
Gala,GA_O1,2022,RA,9,7,3,6.25,0.0625
Gala,GA_O1,2022,CA,3,1,1,98.33333333333333,0.9833333333333333
Gala,GA_O1,2022,CA,3,1,2,98.33333333333333,0.9833333333333333
Gala,GA_O1,2022,CA,3,1,3,100.0,1.0
Gala,GA_O1,2022,CA,3,7,1,100.0,1.0
Gala,GA_O1,2022,CA,3,7,2,98.14814814814815,0.9814814814814815
Gala,GA_O1,2022,CA,3,7,3,100.0,1.0
Gala,GA_O1,2022,CA,6,1,1,100.0,1.0
Gala,GA_O1,2022,CA,6,1,2,100.0,1.0
Gala,GA_O1,2022,CA,6,1,3,100.0,1.0
Gala,GA_O1,2022,CA,6,7,1,95.83333333333334,0.9583333333333335
Gala,GA_O1,2022,CA,6,7,2,100.0,1.0
Gala,GA_O1,2022,CA,6,7,3,91.66666666666667,0.9166666666666667
Gala,GA_O1,2022,CA,9,1,1,100.0,1.0
Gala,GA_O1,2022,CA,9,1,2,100.0,1.0
Gala,GA_O1,2022,CA,9,1,3,96.66666666666667,0.9666666666666667
Gala,GA_O1,2022,CA,9,7,1,52.08333333333333,0.5208333333333333
Gala,GA_O1,2022,CA,9,7,2,44.897959183673464,0.44897959183673464
Gala,GA_O1,2022,CA,9,7,3,57.14285714285714,0.5714285714285714
Gala,GA_O1,2022,DCA,3,1,1,100.0,1.0
Gala,GA_O1,2022,DCA,3,1,2,100.0,1.0
Gala,GA_O1,2022,DCA,3,1,3,100.0,1.0
Gala,GA_O1,2022,DCA,3,7,1,100.0,1.0
Gala,GA_O1,2022,DCA,3,7,2,100.0,1.0
Gala,GA_O1,2022,DCA,3,7,3,100.0,1.0
Gala,GA_O1,2022,DCA,6,1,1,100.0,1.0
Gala,GA_O1,2022,DCA,6,1,2,100.0,1.0
Gala,GA_O1,2022,DCA,6,1,3,100.0,1.0
Gala,GA_O1,2022,DCA,6,7,1,92.85714285714286,0.9285714285714286
Gala,GA_O1,2022,DCA,6,7,2,78.57142857142857,0.7857142857142857
Gala,GA_O1,2022,DCA,6,7,3,100.0,1.0
Gala,GA_O1,2022,DCA,9,1,1,100.0,1.0
Gala,GA_O1,2022,DCA,9,1,2,100.0,1.0
Gala,GA_O1,2022,DCA,9,1,3,100.0,1.0
Gala,GA_O1,2022,DCA,9,7,1,88.23529411764706,0.8823529411764706
Gala,GA_O1,2022,DCA,9,7,2,47.05882352941176,0.4705882352941176
Gala,GA_O1,2022,DCA,9,7,3,47.05882352941176,0.4705882352941176
Gala,GA_O1,2023,RA,3,1,1,100.0,1.0
Gala,GA_O1,2023,RA,3,1,2,100.0,1.0
Gala,GA_O1,2023,RA,3,1,3,100.0,1.0
Gala,GA_O1,2023,RA,3,7,1,100.0,1.0
Gala,GA_O1,2023,RA,3,7,2,100.0,1.0
Gala,GA_O1,2023,RA,3,7,3,100.0,1.0
Gala,GA_O1,2023,RA,6,1,1,100.0,1.0
Gala,GA_O1,2023,RA,6,1,2,100.0,1.0
Gala,GA_O1,2023,RA,6,1,3,100.0,1.0
Gala,GA_O1,2023,RA,6,7,1,96.66666666666667,0.9666666666666667
Gala,GA_O1,2023,RA,6,7,2,100.0,1.0
Gala,GA_O1,2023,RA,6,7,3,100.0,1.0
Gala,GA_O1,2023,RA,9,1,1,100.0,1.0
Gala,GA_O1,2023,RA,9,1,2,100.0,1.0
Gala,GA_O1,2023,RA,9,1,3,100.0,1.0
Gala,GA_O1,2023,RA,9,7,1,95.0,0.95
Gala,GA_O1,2023,RA,9,7,2,90.0,0.9
Gala,GA_O1,2023,RA,9,7,3,85.0,0.85
Gala,GA_O1,2023,CA,3,1,1,100.0,1.0
Gala,GA_O1,2023,CA,3,1,2,100.0,1.0
Gala,GA_O1,2023,CA,3,1,3,100.0,1.0
Gala,GA_O1,2023,CA,3,7,1,100.0,1.0
Gala,GA_O1,2023,CA,3,7,2,100.0,1.0
Gala,GA_O1,2023,CA,3,7,3,100.0,1.0
Gala,GA_O1,2023,CA,6,1,1,100.0,1.0
Gala,GA_O1,2023,CA,6,1,2,100.0,1.0
Gala,GA_O1,2023,CA,6,1,3,100.0,1.0
Gala,GA_O1,2023,CA,6,7,1,96.66666666666667,0.9666666666666667
Gala,GA_O1,2023,CA,6,7,2,98.33333333333333,0.9833333333333333
Gala,GA_O1,2023,CA,6,7,3,98.33333333333333,0.9833333333333333
Gala,GA_O1,2023,CA,9,1,1,100.0,1.0
Gala,GA_O1,2023,CA,9,1,2,100.0,1.0
Gala,GA_O1,2023,CA,9,1,3,100.0,1.0
Gala,GA_O1,2023,CA,9,7,1,85.0,0.85
Gala,GA_O1,2023,CA,9,7,2,90.0,0.9
Gala,GA_O1,2023,CA,9,7,3,78.33333333333333,0.7833333333333333
Gala,GA_O1,2023,DCA,3,1,1,100.0,1.0
Gala,GA_O1,2023,DCA,3,1,2,100.0,1.0
Gala,GA_O1,2023,DCA,3,1,3,100.0,1.0
Gala,GA_O1,2023,DCA,3,7,1,100.0,1.0
Gala,GA_O1,2023,DCA,3,7,2,100.0,1.0
Gala,GA_O1,2023,DCA,3,7,3,100.0,1.0
Gala,GA_O1,2023,DCA,6,1,1,100.0,1.0
Gala,GA_O1,2023,DCA,6,1,2,100.0,1.0
Gala,GA_O1,2023,DCA,6,1,3,100.0,1.0
Gala,GA_O1,2023,DCA,6,7,1,100.0,1.0
Gala,GA_O1,2023,DCA,6,7,2,100.0,1.0
Gala,GA_O1,2023,DCA,6,7,3,100.0,1.0
Gala,GA_O1,2023,DCA,9,1,1,100.0,1.0
Gala,GA_O1,2023,DCA,9,1,2,100.0,1.0
Gala,GA_O1,2023,DCA,9,1,3,100.0,1.0
Gala,GA_O1,2023,DCA,9,7,1,91.89189189189189,0.9189189189189189
Gala,GA_O1,2023,DCA,9,7,2,89.1891891891892,0.8918918918918919
Gala,GA_O1,2023,DCA,9,7,3,100.0,1.0
Gala,GA_O1,2024,RA,3,1,1,100.0,1.0
Gala,GA_O1,2024,RA,3,1,2,100.0,1.0
Gala,GA_O1,2024,RA,3,1,3,100.0,1.0
Gala,GA_O1,2024,RA,3,7,1,100.0,1.0
Gala,GA_O1,2024,RA,3,7,2,100.0,1.0
Gala,GA_O1,2024,RA,3,7,3,100.0,1.0
Gala,GA_O1,2024,RA,6,1,1,100.0,1.0
Gala,GA_O1,2024,RA,6,1,2,100.0,1.0
Gala,GA_O1,2024,RA,6,1,3,100.0,1.0
Gala,GA_O1,2024,RA,6,7,1,86.66666666666667,0.8666666666666667
Gala,GA_O1,2024,RA,6,7,2,83.33333333333334,0.8333333333333335
Gala,GA_O1,2024,RA,6,7,3,71.66666666666667,0.7166666666666667
Gala,GA_O1,2024,RA,9,1,1,86.66666666666667,0.8666666666666667
Gala,GA_O1,2024,RA,9,1,2,83.33333333333334,0.8333333333333335
Gala,GA_O1,2024,RA,9,1,3,86.66666666666667,0.8666666666666667
Gala,GA_O1,2024,RA,9,7,1,26.66666666666667,0.2666666666666667
Gala,GA_O1,2024,RA,9,7,2,21.666666666666668,0.21666666666666667
Gala,GA_O1,2024,RA,9,7,3,43.333333333333336,0.43333333333333335
Gala,GA_O1,2024,CA,3,1,1,100.0,1.0
Gala,GA_O1,2024,CA,3,1,2,100.0,1.0
Gala,GA_O1,2024,CA,3,1,3,100.0,1.0
Gala,GA_O1,2024,CA,3,7,1,100.0,1.0
Gala,GA_O1,2024,CA,3,7,2,100.0,1.0
Gala,GA_O1,2024,CA,3,7,3,100.0,1.0
Gala,GA_O1,2024,CA,6,1,1,100.0,1.0
Gala,GA_O1,2024,CA,6,1,2,100.0,1.0
Gala,GA_O1,2024,CA,6,1,3,100.0,1.0
Gala,GA_O1,2024,CA,6,7,1,63.33333333333333,0.6333333333333333
Gala,GA_O1,2024,CA,6,7,2,70.0,0.7
Gala,GA_O1,2024,CA,6,7,3,73.33333333333334,0.7333333333333334
Gala,GA_O1,2024,CA,9,1,1,93.33333333333333,0.9333333333333332
Gala,GA_O1,2024,CA,9,1,2,98.33333333333333,0.9833333333333333
Gala,GA_O1,2024,CA,9,1,3,95.0,0.95
Gala,GA_O1,2024,CA,9,7,1,46.666666666666664,0.4666666666666666
Gala,GA_O1,2024,CA,9,7,2,51.66666666666666,0.5166666666666666
Gala,GA_O1,2024,CA,9,7,3,39.99999999999999,0.3999999999999999
Gala,GA_O1,2024,DCA,3,1,1,100.0,1.0
Gala,GA_O1,2024,DCA,3,1,2,100.0,1.0
Gala,GA_O1,2024,DCA,3,1,3,100.0,1.0
Gala,GA_O1,2024,DCA,3,7,1,100.0,1.0
Gala,GA_O1,2024,DCA,3,7,2,100.0,1.0
Gala,GA_O1,2024,DCA,3,7,3,100.0,1.0
Gala,GA_O1,2024,DCA,6,1,1,100.0,1.0
Gala,GA_O1,2024,DCA,6,1,2,100.0,1.0
Gala,GA_O1,2024,DCA,6,1,3,100.0,1.0
Gala,GA_O1,2024,DCA,6,7,1,100.0,1.0
Gala,GA_O1,2024,DCA,6,7,2,100.0,1.0
Gala,GA_O1,2024,DCA,6,7,3,100.0,1.0
Gala,GA_O1,2024,DCA,9,1,1,100.0,1.0
Gala,GA_O1,2024,DCA,9,1,2,100.0,1.0
Gala,GA_O1,2024,DCA,9,1,3,100.0,1.0
Gala,GA_O1,2024,DCA,9,7,1,95.45454545454545,0.9545454545454546
Gala,GA_O1,2024,DCA,9,7,2,95.45454545454545,0.9545454545454546
Gala,GA_O1,2024,DCA,9,7,3,95.45454545454545,0.9545454545454546
